"FUND TYPE","FUND CODE","FUND DESCRIPTION","DEPARTMENT NUMBER","DEPARTMENT DESCRIPTION","APPROPRIATION AUTHORITY","APPROPRIATION AUTHORITY DESCRIPTION","APPROPRIATION ACCOUNT","APPROPRIATION ACCOUNT DESCRIPTION","2025 ORDINANCE (AMOUNT $)"
"LOCAL","0740","Chicago O'Hare Airport Fund","38","Department of Fleet and Facility Management","2140","Bureau of Fleet Operations","0176","Maintenance and Operation of City Owned Vehicles","$3,458,345.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","38","Department of Fleet and Facility Management","2140","Bureau of Fleet Operations","0338","License Sticker, Tag and Plates","$8,000.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","38","Department of Fleet and Facility Management","2140","Bureau of Fleet Operations","0350","Stationery and Office Supplies","$1,245.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","38","Department of Fleet and Facility Management","2140","Bureau of Fleet Operations","0360","Repair Parts and Material","$6,447,943.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","38","Department of Fleet and Facility Management","2140","Bureau of Fleet Operations","0440","Machinery and Equipment","$221,224.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0005","Salaries and Wages - on Payroll","$7,545,264.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0020","Overtime","$115,000.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0055","Extra Hire","$148,860.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0125","Office and Building Services","$500,000.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0130","Postage","$592,837.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0138","For Professional Services for Information Technology Maintenance","$1,576,229.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$5,633,596.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0143","Court Reporting","$41,838.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0145","Legal Expenses","$1,645,575.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0149","For Software Maintenance and Licensing","$2,259,290.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0150","Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services","$629,800.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0152","Advertising","$152,000.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0154","For the Rental and Maintenance of Data Processing, Office Automation and Data Communications Hardware","$1,688,725.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0155","Rental of Property","$1,986,196.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0157","Rental of Equipment and Services","$95,516.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0159","Lease Purchase Agreements for Equipment and Machinery","$1,030,398.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0162","Repair/Maintenance of Equipment","$284,258.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0166","Dues, Subscriptions and Memberships","$21,071.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0169","Technical Meeting Costs","$43,720.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0172","For the Cost of Insurance Premiums and Expenses","$2,410.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0178","Freight and Express Charges","$15,376.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0181","Mobile Communication Services","$1,314,800.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0190","Telephone - Centrex Billings","$406,840.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0229","Transportation and Expense Allowance","$4,500.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0245","Reimbursement to Travelers","$3,200.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0270","Local Transportation","$5,320.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0340","Material and Supplies","$402,859.00"
"LOCAL","0100","Corporate Fund","39","Board of Election Commissioners","2005","Election and Administration Division","0350","Stationery and Office Supplies","$362,256.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0005","Salaries and Wages - on Payroll","$27,249,159.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0015","Schedule Salary Adjustments","$344,111.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0020","Overtime","$90,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0050","Stipends","$18,500.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0091","Uniform Allowance","$16,400.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0125","Office and Building Services","$130,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0130","Postage","$28,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0135","For Delegate Agencies","$21,521,382.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$6,013,734.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0148","Testing and Inspecting","$500.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0149","For Software Maintenance and Licensing","$83,743.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0150","Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services","$30,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0159","Lease Purchase Agreements for Equipment and Machinery","$103,230.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0162","Repair/Maintenance of Equipment","$17,300.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0166","Dues, Subscriptions and Memberships","$64,333.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0169","Technical Meeting Costs","$42,497.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0179","Messenger Service","$5,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0181","Mobile Communication Services","$308,812.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0229","Transportation and Expense Allowance","$11,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0245","Reimbursement to Travelers","$5,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0270","Local Transportation","$3,150.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0340","Material and Supplies","$75,488.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0342","Drugs, Medicine and Chemical Materials","$987,895.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0350","Stationery and Office Supplies","$48,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0446","For the Purchase of IT and Data Communication Hardware","$80,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","9254","Violence Reduction Program","$14,460,000.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","9283","CARE Pilot Program","$892,200.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","9296","Reproductive Health Initiative","$2,820,458.00"
"LOCAL","0100","Corporate Fund","41","Chicago Department of Public Health","1005","Department of Public Health","9438","For Services Provided by the Department of Fleet and Facilities Management","$82,500.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0005","Salaries and Wages - on Payroll","$2,297,173.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0015","Schedule Salary Adjustments","$23,496.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0135","For Delegate Agencies","$10,000,000.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$450,000.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0150","Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services","$25,000.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0181","Mobile Communication Services","$4,380.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0245","Reimbursement to Travelers","$16,000.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0340","Material and Supplies","$625,684.00"
"LOCAL","0B89","Opioid Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0446","For the Purchase of IT and Data Communication Hardware","$30,000.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0005","Salaries and Wages - on Payroll","$443,443.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0015","Schedule Salary Adjustments","$2,094.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0135","For Delegate Agencies","$925,000.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$500,000.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0150","Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services","$20,000.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0190","Telephone - Centrex Billings","$675.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0245","Reimbursement to Travelers","$10,000.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0340","Material and Supplies","$11,050.00"
"LOCAL","0B90","Vaping Settlement Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0446","For the Purchase of IT and Data Communication Hardware","$7,014.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0005","Salaries and Wages - on Payroll","$96,542.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0015","Schedule Salary Adjustments","$184.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0149","For Software Maintenance and Licensing","$175,136.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0169","Technical Meeting Costs","$8,500.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0181","Mobile Communication Services","$7,008.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0189","Telephone - Non-Centrex Billings","$1,600.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0229","Transportation and Expense Allowance","$3,600.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0319","Clothing","$8,000.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0340","Material and Supplies","$2,500.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0350","Stationery and Office Supplies","$1,000.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0446","For the Purchase of IT and Data Communication Hardware","$20,000.00"
"LOCAL","0B92","Construction and Demolition Debris Management Fund","41","Chicago Department of Public Health","1005","Department of Public Health","0450","Vehicles","$200,000.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0005","Salaries and Wages - on Payroll","$1,372,282.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0015","Schedule Salary Adjustments","$15,380.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0020","Overtime","$1,429.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0130","Postage","$4,000.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$39,937.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0143","Court Reporting","$4,400.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0149","For Software Maintenance and Licensing","$2,554.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0159","Lease Purchase Agreements for Equipment and Machinery","$3,777.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0166","Dues, Subscriptions and Memberships","$18,451.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0270","Local Transportation","$3,000.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","0350","Stationery and Office Supplies","$4,600.00"
"LOCAL","0100","Corporate Fund","45","Chicago Commission on Human Relations","2005","Chicago Commission on Human Relations","9438","For Services Provided by the Department of Fleet and Facilities Management","$3,000.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0005","Salaries and Wages - on Payroll","$2,416,672.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0015","Schedule Salary Adjustments","$44,705.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0039","For the Employment of Students as Trainees","$41,750.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0130","Postage","$1,800.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0135","For Delegate Agencies","$400,000.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$208,727.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0149","For Software Maintenance and Licensing","$149,576.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0159","Lease Purchase Agreements for Equipment and Machinery","$9,544.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0169","Technical Meeting Costs","$1,580.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0245","Reimbursement to Travelers","$7,000.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0270","Local Transportation","$6,440.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0340","Material and Supplies","$10,699.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0350","Stationery and Office Supplies","$12,387.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","0446","For the Purchase of IT and Data Communication Hardware","$10,000.00"
"LOCAL","0100","Corporate Fund","48","Mayor's Office for People with Disabilities","2005","Mayor's Office for People with Disabilities","9438","For Services Provided by the Department of Fleet and Facilities Management","$15,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0005","Salaries and Wages - on Payroll","$11,990,326.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0015","Schedule Salary Adjustments","$199,618.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0125","Office and Building Services","$7,690.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0130","Postage","$13,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0135","For Delegate Agencies","$1,350,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0138","For Professional Services for Information Technology Maintenance","$480,800.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$212,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0149","For Software Maintenance and Licensing","$11,800.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0152","Advertising","$6,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0159","Lease Purchase Agreements for Equipment and Machinery","$162,394.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0166","Dues, Subscriptions and Memberships","$14,049.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0169","Technical Meeting Costs","$40,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0229","Transportation and Expense Allowance","$878.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0245","Reimbursement to Travelers","$6,500.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0340","Material and Supplies","$19,500.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0350","Stationery and Office Supplies","$13,400.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9143","Workforce Services for Target Populations","$1,884,410.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9204","Youth Mentoring Programs","$6,724,700.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9241","Criminal Justice Initiatives","$1,000,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9253","Early Childhood Education Program","$11,033,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9254","Violence Reduction Program","$6,261,025.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9255","Homeless Services for Youth","$1,540,979.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9259","Summer Programs","$42,830,197.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9260","After School Programs","$15,705,124.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9261","Children's Advocacy Center","$1,050,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9262","Earned Income Tax Credit","$850,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9263","Homeless Services","$50,147,659.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9267","Flexible Housing Pool","$6,000,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9291","Legal Protection Fund","$1,550,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9299","Gender Based Violence Services","$3,500,000.00"
"LOCAL","0100","Corporate Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9438","For Services Provided by the Department of Fleet and Facilities Management","$154,105.00"
"LOCAL","0B93","Houseshare Surcharge - Homeless Services Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","9263","Homeless Services","$13,708,000.00"
"LOCAL","0B94","Houseshare Surcharge - Domestic Violence Fund","50","Department of Family and Support Services","2005","Department of Family and Support Services","0135","For Delegate Agencies","$9,016,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0005","Salaries and Wages - on Payroll","$18,691,925.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0012","Contract Wage Increment - Prevailing Rate","$6,315.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0015","Schedule Salary Adjustments","$222,549.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0020","Overtime","$355,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0091","Uniform Allowance","$10,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0130","Postage","$255,436.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0138","For Professional Services for Information Technology Maintenance","$14,438,691.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$5,890,847.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0142","Accounting and Auditing","$75,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0149","For Software Maintenance and Licensing","$6,635,300.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0152","Advertising","$2,400.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0157","Rental of Equipment and Services","$9,689,016.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0159","Lease Purchase Agreements for Equipment and Machinery","$110,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0161","Operation, Repair or Maintenance of Facilities","$170,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0162","Repair/Maintenance of Equipment","$330,538.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0166","Dues, Subscriptions and Memberships","$23,022.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0169","Technical Meeting Costs","$34,550.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0178","Freight and Express Charges","$14,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0181","Mobile Communication Services","$3,240,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0186","Pagers","$400.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0189","Telephone - Non-Centrex Billings","$690,800.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0190","Telephone - Centrex Billings","$92,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0196","Data Circuits","$1,632,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$27,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0245","Reimbursement to Travelers","$41,500.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0320","Gasoline","$60,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0330","Food","$59,580.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0338","License Sticker, Tag and Plates","$3,524.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0340","Material and Supplies","$2,349,185.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0342","Drugs, Medicine and Chemical Materials","$25,600.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0348","Books and Related Material","$500.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0350","Stationery and Office Supplies","$573,890.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0360","Repair Parts and Material","$346,500.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0422","Office Machines","$2,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0424","Furniture and Furnishings","$200,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","9067","For Physical Exams","$2,204,176.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","9295","Consent Decree","$3,375,000.00"
"LOCAL","0100","Corporate Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","9438","For Services Provided by the Department of Fleet and Facilities Management","$20,000.00"
"LOCAL","0353","Emergency Communication Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0005","Salaries and Wages - on Payroll","$13,280,564.00"
"LOCAL","0353","Emergency Communication Fund","51","Office of Public Safety Administration","2005","Office of Public Safety Administration","0012","Contract Wage Increment - Prevailing Rate","$166,477.00"
