"FUND TYPE","FUND CODE","FUND DESCRIPTION","DEPARTMENT NUMBER","DEPARTMENT DESCRIPTION","APPROPRIATION AUTHORITY","APPROPRIATION AUTHORITY DESCRIPTION","APPROPRIATION ACCOUNT","APPROPRIATION ACCOUNT DESCRIPTION","2024 ORDINANCE (AMOUNT $)"
"LOCAL","0100","Corporate Fund","30","Department of Administrative Hearings","2005","Department of Administrative Hearings","0169","Technical Meeting Costs","$470.00"
"LOCAL","0100","Corporate Fund","30","Department of Administrative Hearings","2005","Department of Administrative Hearings","0179","Messenger Service","$2,850.00"
"LOCAL","0100","Corporate Fund","30","Department of Administrative Hearings","2005","Department of Administrative Hearings","0229","Transportation and Expense Allowance","$1,750.00"
"LOCAL","0100","Corporate Fund","30","Department of Administrative Hearings","2005","Department of Administrative Hearings","0340","Material and Supplies","$16,320.00"
"LOCAL","0100","Corporate Fund","30","Department of Administrative Hearings","2005","Department of Administrative Hearings","0348","Books and Related Material","$1,000.00"
"LOCAL","0100","Corporate Fund","30","Department of Administrative Hearings","2005","Department of Administrative Hearings","0350","Stationery and Office Supplies","$12,440.00"
"LOCAL","0100","Corporate Fund","30","Department of Administrative Hearings","2005","Department of Administrative Hearings","9438","For Services Provided by the Department of Fleet and Facilities Management","$21,850.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0005","Salaries and Wages - on Payroll","$33,418,528.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0015","Schedule Salary Adjustments","$154,940.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0020","Overtime","$5,000.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0130","Postage","$117,420.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0138","For Professional Services for Information Technology Maintenance","$414,373.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,051,658.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0141","Appraisals","$10,000.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0143","Court Reporting","$750,478.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0145","Legal Expenses","$62,437.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0149","For Software Maintenance and Licensing","$561,680.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$14,000.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0157","Rental of Equipment and Services","$49,883.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0159","Lease Purchase Agreements for Equipment and Machinery","$96,934.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0162","Repair/Maintenance of Equipment","$1,202.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0166","Dues, Subscriptions and Memberships","$129,429.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0169","Technical Meeting Costs","$46,540.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0178","Freight and Express Charges","$7,378.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0229","Transportation and Expense Allowance","$4,010.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0245","Reimbursement to Travelers","$35,000.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0270","Local Transportation","$31,750.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0348","Books and Related Material","$1,800.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","0350","Stationery and Office Supplies","$54,078.00"
"LOCAL","0100","Corporate Fund","31","Department of Law","2005","Department of Law","9438","For Services Provided by the Department of Fleet and Facilities Management","$11,000.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0005","Salaries and Wages - on Payroll","$1,702,377.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0015","Schedule Salary Adjustments","$1,004.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0020","Overtime","$470.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0130","Postage","$4,900.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0138","For Professional Services for Information Technology Maintenance","$3,200.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$48,517.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0141","Appraisals","$2,500.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0143","Court Reporting","$49,458.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0145","Legal Expenses","$12,813.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0149","For Software Maintenance and Licensing","$30,600.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$1,000.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0157","Rental of Equipment and Services","$772.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0159","Lease Purchase Agreements for Equipment and Machinery","$7,832.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0162","Repair/Maintenance of Equipment","$1,202.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0166","Dues, Subscriptions and Memberships","$1,786.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0169","Technical Meeting Costs","$5,740.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0178","Freight and Express Charges","$644.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0229","Transportation and Expense Allowance","$230.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0245","Reimbursement to Travelers","$2,200.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0270","Local Transportation","$1,788.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0348","Books and Related Material","$150.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","0350","Stationery and Office Supplies","$3,689.00"
"LOCAL","0200","Water Fund","31","Department of Law","2005","Department of Law","9438","For Services Provided by the Department of Fleet and Facilities Management","$1,323.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0005","Salaries and Wages - on Payroll","$2,115,024.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0015","Schedule Salary Adjustments","$11,314.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0020","Overtime","$360.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0130","Postage","$7,380.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0138","For Professional Services for Information Technology Maintenance","$2,200.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$42,620.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0141","Appraisals","$3,000.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0143","Court Reporting","$45,963.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0145","Legal Expenses","$3,390.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0149","For Software Maintenance and Licensing","$27,270.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$1,190.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0157","Rental of Equipment and Services","$360.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0159","Lease Purchase Agreements for Equipment and Machinery","$9,783.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0162","Repair/Maintenance of Equipment","$100.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0166","Dues, Subscriptions and Memberships","$1,723.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0169","Technical Meeting Costs","$4,300.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0178","Freight and Express Charges","$310.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0229","Transportation and Expense Allowance","$175.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0245","Reimbursement to Travelers","$1,500.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0270","Local Transportation","$816.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0348","Books and Related Material","$150.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","0350","Stationery and Office Supplies","$2,886.00"
"LOCAL","0300","Vehicle Tax Fund","31","Department of Law","2005","Department of Law","9438","For Services Provided by the Department of Fleet and Facilities Management","$1,006.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0005","Salaries and Wages - on Payroll","$879,713.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0020","Overtime","$200.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0130","Postage","$2,757.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0138","For Professional Services for Information Technology Maintenance","$2,000.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$27,404.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0141","Appraisals","$800.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0143","Court Reporting","$21,578.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0145","Legal Expenses","$4,685.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0149","For Software Maintenance and Licensing","$23,600.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$800.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0157","Rental of Equipment and Services","$210.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0159","Lease Purchase Agreements for Equipment and Machinery","$5,376.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0162","Repair/Maintenance of Equipment","$100.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0166","Dues, Subscriptions and Memberships","$1,750.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0169","Technical Meeting Costs","$4,020.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0178","Freight and Express Charges","$270.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0229","Transportation and Expense Allowance","$140.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0245","Reimbursement to Travelers","$1,750.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0270","Local Transportation","$932.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0348","Books and Related Material","$150.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","0350","Stationery and Office Supplies","$2,244.00"
"LOCAL","0314","Sewer Fund","31","Department of Law","2005","Department of Law","9438","For Services Provided by the Department of Fleet and Facilities Management","$805.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0005","Salaries and Wages - on Payroll","$434,544.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0130","Postage","$2,370.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0138","For Professional Services for Information Technology Maintenance","$1,800.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$27,197.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0141","Appraisals","$1,200.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0143","Court Reporting","$5,138.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0145","Legal Expenses","$3,272.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0149","For Software Maintenance and Licensing","$21,640.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$800.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0157","Rental of Equipment and Services","$325.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0159","Lease Purchase Agreements for Equipment and Machinery","$5,760.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0162","Repair/Maintenance of Equipment","$100.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0166","Dues, Subscriptions and Memberships","$1,705.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0169","Technical Meeting Costs","$4,165.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0178","Freight and Express Charges","$301.00"
"LOCAL","0100","Corporate Fund","78","Board of Ethics","2005","Board of Ethics","0270","Local Transportation","$1,500.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0229","Transportation and Expense Allowance","$150.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0245","Reimbursement to Travelers","$4,200.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0270","Local Transportation","$777.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0348","Books and Related Material","$100.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","0350","Stationery and Office Supplies","$2,398.00"
"LOCAL","0610","Chicago Midway Airport Fund","31","Department of Law","2005","Department of Law","9438","For Services Provided by the Department of Fleet and Facilities Management","$863.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0005","Salaries and Wages - on Payroll","$2,193,828.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0015","Schedule Salary Adjustments","$1,386.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0020","Overtime","$400.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0130","Postage","$2,788.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0138","For Professional Services for Information Technology Maintenance","$3,800.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$49,576.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0141","Appraisals","$1,500.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0143","Court Reporting","$14,385.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0145","Legal Expenses","$4,651.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0149","For Software Maintenance and Licensing","$22,200.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$1,600.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0157","Rental of Equipment and Services","$450.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0159","Lease Purchase Agreements for Equipment and Machinery","$7,500.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0162","Repair/Maintenance of Equipment","$100.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0166","Dues, Subscriptions and Memberships","$2,875.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0169","Technical Meeting Costs","$4,680.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0178","Freight and Express Charges","$597.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0229","Transportation and Expense Allowance","$295.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0245","Reimbursement to Travelers","$5,350.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0270","Local Transportation","$1,437.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0348","Books and Related Material","$150.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","0350","Stationery and Office Supplies","$4,794.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","31","Department of Law","2005","Department of Law","9438","For Services Provided by the Department of Fleet and Facilities Management","$1,253.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","31","Department of Law","2005","Department of Law","0005","Salaries and Wages - on Payroll","$1,202,550.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","31","Department of Law","2005","Department of Law","0015","Schedule Salary Adjustments","$4,992.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0005","Salaries and Wages - on Payroll","$10,129,803.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0015","Schedule Salary Adjustments","$144,798.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0039","For the Employment of Students as Trainees","$118,272.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0050","Stipends","$21,000.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0130","Postage","$13,300.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$446,548.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0143","Court Reporting","$55,993.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0149","For Software Maintenance and Licensing","$45,366.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0152","Advertising","$160,500.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0159","Lease Purchase Agreements for Equipment and Machinery","$62,113.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0162","Repair/Maintenance of Equipment","$8,300.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0166","Dues, Subscriptions and Memberships","$42,175.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0169","Technical Meeting Costs","$86,350.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0178","Freight and Express Charges","$500.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0270","Local Transportation","$2,560.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0340","Material and Supplies","$27,055.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","0350","Stationery and Office Supplies","$15,500.00"
"LOCAL","0100","Corporate Fund","33","Department of Human Resources","2005","Department of Human Resources","9438","For Services Provided by the Department of Fleet and Facilities Management","$10,000.00"
"LOCAL","0200","Water Fund","33","Department of Human Resources","2005","Department of Human Resources","0005","Salaries and Wages - on Payroll","$343,172.00"
"LOCAL","0200","Water Fund","33","Department of Human Resources","2005","Department of Human Resources","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$3,808.00"
"LOCAL","0200","Water Fund","33","Department of Human Resources","2005","Department of Human Resources","0350","Stationery and Office Supplies","$208.00"
"LOCAL","0300","Vehicle Tax Fund","33","Department of Human Resources","2005","Department of Human Resources","0005","Salaries and Wages - on Payroll","$55,920.00"
"LOCAL","0610","Chicago Midway Airport Fund","33","Department of Human Resources","2005","Department of Human Resources","0005","Salaries and Wages - on Payroll","$129,425.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","33","Department of Human Resources","2005","Department of Human Resources","0005","Salaries and Wages - on Payroll","$472,597.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","33","Department of Human Resources","2005","Department of Human Resources","0130","Postage","$295.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","33","Department of Human Resources","2005","Department of Human Resources","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$5,950.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0005","Salaries and Wages - on Payroll","$9,763,734.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0012","Contract Wage Increment - Prevailing Rate","$3,600.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0015","Schedule Salary Adjustments","$194,631.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0039","For the Employment of Students as Trainees","$15,800.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0130","Postage","$5,721.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0138","For Professional Services for Information Technology Maintenance","$205,760.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,292,200.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0149","For Software Maintenance and Licensing","$19,565.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0152","Advertising","$66,000.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0157","Rental of Equipment and Services","$38,497.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0159","Lease Purchase Agreements for Equipment and Machinery","$20,300.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0160","Repair or Maintenance of Property","$23,280.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0162","Repair/Maintenance of Equipment","$22,056.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0166","Dues, Subscriptions and Memberships","$21,565.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0168","Educational Development through Cooperative Education Program and Apprenticeship Program","$3,600.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0171","Miscellaneous Supplies","$26,500.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0178","Freight and Express Charges","$500.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0229","Transportation and Expense Allowance","$200.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0245","Reimbursement to Travelers","$25,000.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0270","Local Transportation","$290.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0340","Material and Supplies","$3,750.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0350","Stationery and Office Supplies","$22,873.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0446","For the Purchase of IT and Data Communication Hardware","$11,400.00"
"LOCAL","0100","Corporate Fund","35","Department of Procurement Services","2005","Department of Procurement Services","9438","For Services Provided by the Department of Fleet and Facilities Management","$25,000.00"
"LOCAL","0200","Water Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0005","Salaries and Wages - on Payroll","$418,964.00"
"LOCAL","0200","Water Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0015","Schedule Salary Adjustments","$9,091.00"
"LOCAL","0300","Vehicle Tax Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0005","Salaries and Wages - on Payroll","$138,432.00"
"LOCAL","0300","Vehicle Tax Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0015","Schedule Salary Adjustments","$3,900.00"
"LOCAL","0610","Chicago Midway Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0005","Salaries and Wages - on Payroll","$366,198.00"
"LOCAL","0610","Chicago Midway Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0015","Schedule Salary Adjustments","$3,900.00"
"LOCAL","0610","Chicago Midway Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$10,000.00"
"LOCAL","0610","Chicago Midway Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0350","Stationery and Office Supplies","$200.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0005","Salaries and Wages - on Payroll","$1,776,037.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0015","Schedule Salary Adjustments","$27,954.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$38,000.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0270","Local Transportation","$300.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","35","Department of Procurement Services","2005","Department of Procurement Services","0350","Stationery and Office Supplies","$600.00"
"LOCAL","0100","Corporate Fund","38","Department of Fleet and Facility Management","2103","Bureau of Finance and Administration","0005","Salaries and Wages - on Payroll","$3,249,139.00"
"LOCAL","0100","Corporate Fund","38","Department of Fleet and Facility Management","2103","Bureau of Finance and Administration","0015","Schedule Salary Adjustments","$52,939.00"
"LOCAL","0100","Corporate Fund","38","Department of Fleet and Facility Management","2103","Bureau of Finance and Administration","0039","For the Employment of Students as Trainees","$10,000.00"
"LOCAL","0100","Corporate Fund","38","Department of Fleet and Facility Management","2103","Bureau of Finance and Administration","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$31,525.00"
"LOCAL","0100","Corporate Fund","38","Department of Fleet and Facility Management","2103","Bureau of Finance and Administration","0148","Testing and Inspecting","$500.00"
"LOCAL","0100","Corporate Fund","38","Department of Fleet and Facility Management","2103","Bureau of Finance and Administration","0152","Advertising","$3,700.00"
